NO,NOx,CO,NO2,O3,PM10,PM2.5,SO2,Class
2.7,17,0.42,15,85,51,25,6.1,1
3.2,15,0.3,12,71,45,23,4.1,1
3.1,17,0.33,14,76,39,18,4.8,1
3,15,0.27,12,79,43,15,4.6,1
3.1,14,0.23,11,63,46,15,4,1
2.9,12,0.22,9.4,58,46,14,4.5,1
3,14,0.27,11,67,45,17,5,1
2.9,20,0.4,17,52,45,18,5.2,1
3.5,27,0.52,24,15,42,17,5.9,0
4.5,28,0.54,24,8.6,35,15,7.7,0
4.3,27,0.44,22,8.6,35,12,6.9,0
4,27,0.4,23,6.9,33,14,6.8,0
4,26,0.39,22,6.8,29,15,5.8,0
4.3,28,0.44,24,4.5,33,15,5.2,0
6.6,30,0.47,24,3,37,15,5.1,0
9,34,0.5,25,1.2,37,15,4.6,0
12,32,0.44,21,2.4,39,16,5.7,0
27,49,0.42,23,0.6,39,15,7.4,0
19,43,0.41,24,0.6,37,14,6.7,0
17,39,0.49,21,1.3,38,18,5.6,0
20,43,0.56,23,4.4,44,21,8,0
13,41,0.68,28,13,48,20,6.2,0
6.6,27,0.5,20,27,45,18,4.8,0
4,18,0.28,14,37,45,15,3.5,0
3.9,17,0.21,13,43,44,13,3,0
3.4,17,0.21,13,52,48,15,3.1,1
3.4,17,0.22,14,54,50,12,3.4,1
3,16,0.21,13,64,38,9,4.1,1
2.8,17,0.22,14,66,40,10,4.2,1
3.1,18,0.21,15,61,45,15,4.3,1
3.5,19,0.24,16,56,40,16,4.8,1
3.2,22,0.37,19,44,38,18,5,0
2.7,25,0.42,22,31,37,15,5.8,0
2.2,25,0.47,23,23,40,15,8.4,0
2.5,25,0.45,23,19,46,18,7.4,0
3.6,32,0.54,28,7.9,48,17,9.5,0
2.9,28,0.42,25,8.5,42,15,9.6,0
3.1,28,0.38,25,5.2,43,16,7.3,0
2.8,25,0.32,23,4.1,40,19,4.6,0
3,22,0.31,19,6.4,37,17,4.3,0
2.3,14,0.27,12,13,35,15,3.6,0
0.1,17,0.29,17,6.6,61,18,4.7,1
0.9,18,0.31,17,6.6,57,16,4.9,1
1.7,18,0.35,16,9.8,27,15,4.6,0
5.7,24,0.42,18,11,29,15,4.5,0
7.8,27,0.5,19,15,33,13,5.3,0
5.6,28,0.65,23,27,42,17,5.3,0
2.3,24,0.57,22,52,43,18,4.6,1
1.9,23,0.43,21,58,44,21,5.4,1
1,20,0.39,19,70,51,23,5.8,1
0.4,14,0.29,14,77,51,19,5.2,1
0.5,12,0.24,12,61,45,16,4.3,1
3.1,15,0.22,12,52,46,15,3.7,1
2.7,15,0.26,13,41,42,15,4,0
2.6,16,0.31,14,30,35,13,3.9,0
5,35,0.8,30,22,38,15,3.4,0
5.2,38,0.88,33,16,38,18,3.6,0
7.4,36,0.76,29,12,33,20,3.4,0
6.1,32,0.72,26,10,33,19,3.4,0
8.1,36,0.81,28,5.1,35,17,3.3,0
7.6,38,0.88,31,1.9,39,20,3.5,0
5.1,33,0.73,28,3.3,40,18,4.1,0
11,40,0.64,29,0.8,39,17,6,0
14,44,0.66,30,1.9,38,20,4.8,0
4.1,23,0.36,19,4.6,39,15,3.5,0
5.6,25,0.34,19,2.6,37,15,2.9,0
9,29,0.44,20,2.5,39,18,2.6,0
15,39,0.6,24,4.7,40,19,3.9,0
13,36,0.59,23,12,40,20,3.3,0
5.7,26,0.51,20,29,44,20,2.8,0
4.7,27,0.54,22,57,49,22,5.9,1
3.7,20,0.34,17,64,49,24,5.2,1
3.1,17,0.29,14,69,43,20,3.8,1
3.3,19,0.31,15,80,42,20,4.6,1
3.4,16,0.24,13,62,44,20,3.9,1
3.2,14,0.19,11,47,45,17,3.5,0
4.3,27,0.37,23,40,44,14,2.2,0
5.6,26,0.4,21,44,29,10,1.7,0
4.5,29,0.57,25,38,18,7,1.8,0
4.4,35,0.78,31,28,17,8,2,0
8.1,48,1.06,40,12,21,11,2.2,0
9.3,46,1.02,37,9,26,9,2.6,0
18,58,1.22,41,2,26,10,3.2,0
14,51,1.1,38,2.6,29,13,3.4,0
12,44,0.93,33,3.2,31,10,3.1,0
9.2,37,0.72,28,4,32,12,3,0
4.4,26,0.46,21,7.1,31,13,2.7,0
3.8,22,0.37,18,9.7,29,10,3,0
-0.1,15,0.32,15,10,32,12,2.9,0
0.8,19,0.37,18,7.1,29,10,3.3,0
3.2,24,0.45,21,5.7,32,13,2.8,0
7.5,31,0.58,24,9.3,40,19,3.1,0
4.5,30,0.63,26,25,45,21,5.6,0
2.3,24,0.54,22,46,46,23,6,0
0.4,15,0.38,15,65,45,25,5,1
0.1,13,0.37,13,85,44,24,6.2,1
0,17,0.41,17,60,45,22,5.2,1
0.1,17,0.43,17,59,48,21,5.9,1
-0.1,14,0.32,14,62,50,20,6.1,1
-0.4,19,0.4,20,53,42,20,5.3,1
0.5,21,0.34,21,44,28,14,2.5,0
1.6,28,0.49,26,34,21,7,2.3,0
0.6,21,0.51,21,36,13,9,2.4,0
0.7,22,0.54,21,33,15,10,2.3,0
0.8,29,0.76,28,22,24,10,2.9,0
10,56,1.4,45,4.5,32,15,3.1,0
3.4,34,0.81,30,10,34,19,2.7,0
9,43,0.74,34,0.9,32,16,6,0
14,49,0.87,34,0.8,33,16,7,0
2.2,24,0.59,22,10,37,13,3.9,0
-0.2,14,0.39,14,11,37,12,2.9,0
0.2,13,0.3,13,11,35,15,3.2,0
0.7,14,0.29,14,11,33,16,3.1,0
7.2,27,0.33,20,1,32,18,5.2,0
13,31,0.32,18,1.5,33,17,7.1,0
16,36,0.45,20,3.9,39,16,6.6,0
19,51,0.93,32,9.9,45,18,6.2,0
9.8,45,1,35,28,50,21,6.8,0
3.8,25,0.47,22,34,49,22,6.9,0
2.8,22,0.39,19,35,42,18,7.2,0
2.1,19,0.32,17,46,42,17,5.7,0
1.3,15,0.29,14,55,46,17,4.7,1
0.6,14,0.24,13,52,43,15,4.2,1
0.9,14,0.23,13,44,39,15,3.8,0
1.3,16,0.22,15,36,43,18,4.2,0
3.7,40,0.67,37,26,50,17,4.9,0
16,65,0.92,49,7.8,53,16,27,1
21,72,1.21,51,2.3,48,20,24,1
14,63,1.2,49,1.6,45,20,18,0
10,55,1.06,45,3.4,45,19,12,0
6.6,47,0.91,40,4.5,48,20,9.9,0
7.6,44,0.92,36,4.8,46,20,6.8,0
2.4,25,0.55,23,9.4,38,16,3.6,0
1.7,21,0.44,20,8,31,13,3.1,0
17,42,0.5,25,0.9,34,15,6.8,0
4.4,29,0.48,25,1.3,39,15,4.5,0
18,38,0.37,20,0.6,42,15,8.3,0
11,30,0.38,19,0.6,43,15,6.7,0
16,36,0.53,19,1,42,12,8,0
20,40,0.53,20,3,46,15,10,0
15,38,0.61,23,9,53,20,9.9,1
7,29,0.55,22,20,53,24,6.6,1
2,19,0.37,17,38,45,22,4.9,0
1.1,18,0.34,17,53,38,17,4.4,1
0.3,15,0.3,15,64,35,17,4.2,1
0.4,18,0.34,17,67,40,17,5.1,1
-0.1,15,0.27,15,65,46,18,4,1
0.8,14,0.23,14,60,48,18,3.8,1
0.6,15,0.23,14,52,45,13,3.8,1
0.7,15,0.26,15,40,42,13,4.1,0
1.5,19,0.34,17,26,38,13,5.2,0
0.9,20,0.38,19,20,35,11,6.4,0
0.6,23,0.39,22,13,38,11,11,0
2.2,28,0.49,25,7,39,10,8.4,0
4.9,33,0.57,28,2.5,34,10,7.2,0
9.3,36,0.58,27,1,34,11,7.5,0
7,33,0.45,26,1.2,38,10,7.8,0
4.2,29,0.38,25,1.6,42,9,7.4,0
10,34,0.34,23,0.8,44,9,10,0
10,32,0.33,22,0.7,42,10,8.9,0
22,42,0.32,20,0.6,39,13,7.5,0
21,41,0.32,20,0.6,40,13,8,0
16,36,0.36,20,1.3,43,10,6.7,0
13,31,0.4,18,5.8,42,12,5.6,0
8.8,28,0.52,19,15,43,16,5.9,0
4.2,20,0.43,16,30,42,16,3.9,0
3.6,19,0.34,16,39,40,15,3.5,0
2.4,19,0.31,17,53,40,15,3.3,1
2.3,15,0.26,13,57,33,15,3.6,1
2,17,0.31,15,67,38,13,5,1
2.2,14,0.23,12,57,45,14,4.1,1
2.3,14,0.22,12,55,44,15,4.5,1
2.1,14,0.23,12,51,43,18,4.2,1
1.9,14,0.23,12,52,39,17,4.7,1
2,18,0.33,16,43,39,17,6.1,0
2.1,26,0.5,24,23,42,18,8.5,0
2.7,27,0.45,24,13,39,17,9.5,0
2.7,28,0.47,26,9.3,38,12,7.7,0
2.2,28,0.46,25,7.2,37,10,5.3,0
3.4,30,0.42,26,5.8,37,12,5.2,0
3.6,31,0.6,27,5.6,39,13,4.1,0
2,22,0.44,20,9.4,39,14,3.9,0
8.6,33,0.48,25,1.7,43,18,7.6,0
14,38,0.33,23,0.7,45,17,8,0
7.9,30,0.33,22,1.3,39,15,7.3,0
2.6,19,0.26,16,5.4,35,13,4.2,0
5.8,24,0.3,18,3.8,34,14,5.2,0
5.5,19,0.34,13,11,35,18,3.1,0
6.1,20,0.46,14,16,34,16,2.7,0
4.6,18,0.37,13,22,31,16,3,0
6.3,23,0.38,17,29,31,14,3.2,0
3.2,22,0.31,19,49,46,14,3.1,0
2.9,16,0.29,13,59,45,15,3,1
2.6,19,0.31,17,59,42,15,3.1,1
3,21,0.32,18,57,48,15,5.3,1
2.6,19,0.29,17,58,51,18,6.3,1
3,21,0.34,18,48,48,16,6.9,0
3.1,24,0.42,21,42,44,15,7.9,0
2.8,32,0.61,29,28,42,15,9.7,0
3.2,37,0.66,34,16,45,17,15,0
4,38,0.71,34,6.8,46,17,10,0
7.4,39,0.73,31,2.6,43,15,6.1,0
5.3,32,0.51,26,2.1,39,13,5.7,0
5.2,36,0.7,31,6.1,38,15,4,0
3.1,29,0.45,26,8.4,40,17,6.6,0
3.2,26,0.45,23,9.6,43,16,4.7,0
2.7,23,0.4,20,11,43,15,3.9,0
5.7,24,0.36,19,9.7,39,15,4.2,0
9.7,36,0.49,26,0.8,40,15,8.7,0
16,40,0.52,25,1.6,44,13,9.3,0
23,48,0.65,25,4,46,17,11,0
16,43,0.75,27,14,50,19,8.3,0
6.5,25,0.45,19,30,44,19,5.4,0
4.4,16,0.26,11,35,32,18,3,0
3.8,16,0.26,12,40,29,15,3.4,0
3.2,13,0.22,9.9,49,29,11,3,0
2.5,11,0.2,8.8,57,32,10,2.8,1
3.4,13,0.21,10,46,37,10,2.9,0
3.6,14,0.21,9.9,42,38,12,2.2,0
3,13,0.23,9.8,43,39,16,2.2,0
3.2,15,0.31,12,43,40,16,2.4,0
3.1,20,0.45,17,36,40,15,2.5,0
3.2,25,0.61,22,29,35,18,2,0
3.3,24,0.55,21,30,37,18,2.5,0
2.7,15,0.3,12,34,37,14,2.7,0
2.6,24,0.57,22,20,38,15,3.1,0
3.7,31,0.68,27,10,43,20,3.2,0
2.3,18,0.38,16,23,43,20,6.2,0
2.3,18,0.34,15,17,39,20,5.2,0
2.6,18,0.27,16,13,38,19,3.9,0
3.2,21,0.28,18,8.7,38,15,4.2,0
1.4,19,0.28,18,7.9,35,15,4.4,0
3.3,21,0.3,18,5.2,31,15,5.1,0
2.3,19,0.33,16,6.9,33,14,5.6,0
5.2,19,0.35,14,9.8,35,17,4.9,0
2.7,14,0.3,11,22,32,20,4.9,0
2,13,0.28,11,29,29,17,3.8,0
2.1,13,0.26,11,39,38,17,3.6,0
1,11,0.27,9.9,51,43,20,3.5,1
1.2,11,0.27,10,59,44,19,4,1
1.6,13,0.27,11,58,43,19,4.2,1
1.2,9.7,0.22,8.6,45,37,17,3.1,0
1.3,9,0.2,7.6,42,31,15,2.7,0
1,8.9,0.19,7.9,42,22,13,2.5,0
1.1,16,0.36,15,35,26,12,3.2,0
1.7,26,0.51,24,31,34,13,5.7,0
1.8,29,0.57,27,23,38,18,6.7,0
2.3,30,0.55,28,16,38,21,6.9,0
2.9,31,0.64,28,13,35,19,4.6,0
3,30,0.63,27,13,38,15,3.5,0
2,27,0.67,25,12,37,15,3.2,0
3.4,26,0.49,23,5.9,34,16,3.6,0
2.1,25,0.45,22,3.8,35,19,3.5,0
2.9,25,0.39,22,2.8,40,25,4.9,0
2.4,23,0.34,20,4.2,39,24,4.1,0
0.9,17,0.33,16,7.5,40,22,5.5,0
0.7,19,0.31,18,6.8,42,20,6.1,0
1.6,18,0.34,16,9.5,39,20,5.3,0
5,21,0.37,16,11,42,20,4.8,0
2.9,16,0.3,13,21,40,16,5.1,0
3.4,17,0.36,14,33,39,20,5.3,0
2.7,20,0.5,17,51,46,28,4.3,1
1.2,17,0.51,15,77,48,32,3.4,1
1.2,14,0.41,13,75,45,31,2.8,1
0.8,14,0.38,13,79,46,25,4.6,1
1.2,14,0.36,13,57,43,21,4.6,1
1.1,13,0.28,12,47,38,19,2.7,0
1.9,19,0.32,17,37,38,18,3.1,0
2,26,0.46,24,28,37,22,2.4,0
2.5,22,0.46,20,31,33,25,2.3,0
2.1,23,0.49,21,29,29,20,2.3,0
3,33,0.82,30,16,24,15,2.4,0
2.1,26,0.67,24,17,24,10,2.2,0
5.9,38,0.92,32,6.1,24,10,2.4,0
9.2,42,0.81,33,0.8,35,13,4.5,0
8.1,38,0.72,30,1,45,15,4.4,0
4.9,30,0.53,25,1.8,35,15,4.6,0
8.5,33,0.5,24,1.6,33,15,4.4,0
4.9,27,0.39,22,3.3,34,14,4.6,0
4.3,27,0.4,23,1,37,15,4.6,0
5.4,27,0.39,22,0.9,38,14,5.6,0
5.1,24,0.34,19,3.6,39,15,4.1,0
14,34,0.45,20,5,42,16,4.8,0
18,44,0.77,27,11,46,17,5.2,0
10,46,1.07,36,31,53,24,4.8,1
5.9,41,0.95,35,54,55,31,5.2,1
3.3,30,0.72,27,87,48,30,3.4,1
2.5,20,0.38,18,60,42,21,3.6,1
3.5,16,0.23,13,37,35,15,2.8,0
3,14,0.2,11,37,31,13,2.8,0
2.3,14,0.21,12,34,31,12,2.8,0
2.5,19,0.3,16,37,32,14,3.2,0
4.9,37,0.56,32,23,38,17,5.8,0
7.2,46,0.81,38,20,44,21,6.1,0
4.2,33,0.71,29,19,34,18,3.6,0
4.5,35,0.65,31,9.3,22,10,8.6,0
3.9,34,0.69,30,6.5,23,13,7.9,0
6.5,37,0.6,31,4,35,21,6.1,0
4.6,34,0.54,30,5.3,44,21,4.7,0
3.4,30,0.47,27,4.6,40,20,5.2,0
2.5,26,0.41,24,6,37,17,4.4,0
2.4,19,0.29,16,8.7,34,12,3.7,0
1.5,13,0.21,12,9.6,29,12,3.5,0
12,33,0.33,22,1.8,34,12,6,0
4.8,24,0.33,20,1.2,38,14,5.6,0
9.9,28,0.4,18,1.5,33,17,4.2,0
24,45,0.52,21,3,34,18,8.4,0
23,55,0.88,32,8.5,42,20,5.7,0
16,58,1.29,43,25,51,25,4.9,1
4.4,24,0.57,20,50,43,20,3,0
1.9,18,0.47,17,66,28,18,2.4,1
2,20,0.42,18,76,37,20,4,1
1.8,18,0.34,16,71,43,20,3.1,1
2,23,0.31,21,40,33,5,2.9,0
3.3,39,0.51,35,25,42,11,5.5,0
3.4,33,0.42,29,16,34,18,3.2,0
2.8,33,0.54,30,15,23,19,7.1,0
2.9,37,0.62,35,10,24,15,5.5,0
2,34,0.56,32,15,22,10,3.1,0
2.4,34,0.51,31,14,17,7,3.2,0
5.9,40,0.49,34,5.7,13,5,4.5,0
8.6,42,0.6,34,3.4,15,5,4.1,0
5.2,40,0.73,35,2.1,20,4,2.9,0
2.9,25,0.51,22,9,18,3,1.8,0
2.3,23,0.45,21,6.8,17,4,2.7,0
6.5,35,0.53,28,2.4,24,7,6.1,0
1.7,19,0.32,17,5.6,24,8,2.2,0
5.5,26,0.49,20,2.5,23,7,3.4,0
11,31,0.51,21,2.7,29,8,3.6,0
11,26,0.42,15,6.5,31,10,2.1,0
8.3,25,0.61,17,16,28,10,1.5,0
5.9,34,0.93,28,38,31,12,1.8,0
3.1,30,0.87,27,69,42,18,2.3,1
1.1,15,0.41,14,73,42,20,2.3,1
1.2,18,0.45,17,89,40,18,3.9,1
1.7,20,0.43,18,65,45,15,3.8,1
1.5,28,0.52,26,67,45,19,3.1,1
1.8,35,0.59,34,50,54,27,2.5,1
8.1,47,0.72,39,15,48,25,3,0
12,58,0.69,45,11,37,23,6.4,0
7.6,52,0.9,44,9.6,38,26,4.2,0
10,57,1.4,46,7.1,33,20,2.5,0
11,50,1.27,39,6.2,35,15,2.1,0
7,39,1,32,6.5,35,13,2,0
12,49,1.3,37,2.9,33,16,1.8,0
27,66,1.81,40,0.6,37,20,3.5,0
33,73,1.81,40,0.6,43,19,4.2,0
17,52,0.95,34,0.5,45,19,7.1,0
27,57,0.67,30,0.4,43,15,7.2,0
14,41,0.42,27,0.8,38,12,5.9,0
4.1,21,0.41,17,3.5,35,8,3.2,0
1.9,11,0.24,9.6,8.7,35,5,2,0
3.5,17,0.34,13,6.1,29,10,2.2,0
10,30,0.6,19,5.1,28,12,2.1,0
23,53,1.02,31,7.9,43,15,9.5,0
19,53,1.03,35,19,53,19,8.2,1
5.9,25,0.44,19,34,79,22,3.8,1
3,18,0.31,15,45,87,21,2.8,1
2.2,15,0.28,13,55,59,15,2.1,1
2,16,0.35,14,60,50,16,3.4,1
2.2,13,0.24,11,58,57,19,3.1,1
2,14,0.26,12,51,64,22,3.2,1
2.5,14,0.23,11,42,60,22,3.7,1
2.9,14,0.25,12,31,55,18,3.3,1
2.5,13,0.27,10,27,48,15,3.9,0
2.3,19,0.4,17,20,40,12,5.9,0
2.6,25,0.46,22,11,43,12,9.1,0
2.8,27,0.51,24,8.3,44,11,5,0
5.7,34,0.64,28,3,46,13,5.5,0
5.8,32,0.8,27,8.6,43,16,2.6,0
3.4,27,0.68,23,10,39,19,2.7,0
7.6,32,0.68,24,4.5,44,20,4.1,0
11,34,0.58,23,4.5,51,18,6,1
14,37,0.47,24,0.6,53,17,6.1,1
16,36,0.41,20,0.5,48,17,6.1,0
7.7,25,0.34,18,1,44,19,5.8,0
7,24,0.35,17,2.2,45,18,5.6,0
11,26,0.38,15,5.7,42,15,4.4,0
7.5,21,0.44,14,13,42,12,3.4,0
5.2,19,0.37,14,23,42,15,2.9,0
3.5,15,0.27,12,36,39,15,2.9,0
2.5,13,0.23,11,49,43,17,4.1,0
1.6,13,0.26,11,62,43,20,3.8,1
1.8,14,0.3,12,75,51,21,4.1,1
1.4,15,0.29,14,64,61,21,4.1,1
2.6,14,0.21,11,42,59,17,3.1,1
2.7,14,0.21,12,32,51,14,3.9,1
2.8,16,0.26,14,23,46,13,3.2,0
3.2,18,0.34,15,19,43,14,3.7,0
2.9,21,0.46,18,14,44,13,4.5,0
3.6,25,0.54,21,7.8,48,13,5.6,0
3.4,23,0.4,19,6.5,43,15,5.7,0
2.5,19,0.35,17,8.2,48,16,7.9,0
4.9,24,0.39,19,4.9,53,19,5.5,1
6.9,29,0.4,22,1.1,48,19,5.3,0
6.5,27,0.37,21,1.3,50,17,6.3,0
5.5,25,0.36,19,1.5,51,20,5.2,1
5.6,25,0.31,19,1.7,50,20,6.2,0
4.9,23,0.3,18,2.4,50,19,5.3,0
7.2,26,0.31,18,1.2,48,15,6,0
7.7,24,0.39,16,2.6,44,13,4.4,0
11,25,0.46,14,6.1,38,16,2.7,0
8,21,0.39,13,13,38,18,3,0
7.8,20,0.34,13,20,40,15,3.2,0
5.3,16,0.3,11,34,39,13,2.7,0
4,15,0.28,12,44,35,13,2.9,0
4.3,16,0.28,11,48,44,12,3.7,0
4,16,0.29,12,59,55,16,4.2,1
4.1,14,0.22,9.6,42,62,19,3.3,1
4.7,14,0.2,9.1,35,60,17,3.7,1
4.9,14,0.18,8.7,29,54,15,4,1
5.3,14,0.22,9,23,46,14,4.1,0
4.4,15,0.26,10,21,38,15,4.7,0
4,17,0.3,13,18,38,15,5.2,0
4.4,25,0.4,20,9.5,35,14,4.2,0
4.2,24,0.4,19,9.6,37,13,4,0
5.2,25,0.51,20,7.5,39,12,4,0
6,29,0.56,23,5.3,39,15,4,0
11,33,0.51,21,1.7,38,15,4.3,0
13,35,0.59,22,0.7,40,14,4.6,0
18,40,0.54,22,0.8,42,15,4.6,0
5.1,23,0.32,18,4.5,43,19,4.2,0
2.9,18,0.27,15,7.4,42,20,3.6,0
2.9,18,0.27,15,6.5,38,20,3.8,0
5.5,21,0.31,16,4.3,35,19,3.5,0
6.4,19,0.29,12,10,33,19,3,0
8,21,0.36,13,13,34,18,3,0
6,16,0.26,10,20,39,16,2.8,0
4.4,13,0.21,8.2,28,39,18,2.9,0
3.3,11,0.2,7.8,39,40,16,2.4,0
3,13,0.25,10,46,43,14,3.3,0
3.2,11,0.2,7.7,47,43,15,2.8,0
3.2,11,0.2,7.7,47,46,15,2.5,0
3.2,12,0.22,8.7,51,42,15,3.2,1
3.2,13,0.23,9.5,42,42,15,2.6,0
3.7,14,0.25,10,37,40,14,3,0
3.5,15,0.3,12,33,37,15,4,0
2.7,17,0.35,14,24,39,18,4.8,0
3.2,19,0.36,16,16,40,15,5.4,0
3.5,22,0.37,18,11,40,13,5.8,0
4.1,27,0.44,23,5.2,37,15,6.9,0
4,27,0.43,23,5.6,37,15,8.9,0
3.5,26,0.43,23,5.6,42,14,5.9,0
4.7,27,0.44,22,4.7,48,17,6.3,0
21,42,0.44,21,0.7,45,17,5.6,0
9.1,29,0.33,20,2.3,39,16,5.9,0
2.9,18,0.28,15,5.8,39,20,3.1,0
3.2,20,0.24,17,4,40,17,3.4,0
6.9,21,0.26,15,5.4,39,15,3,0
5.7,17,0.27,11,11,40,18,2.3,0
9.3,26,0.48,16,14,40,18,4,0
6.2,20,0.33,14,23,39,15,3.5,0
4.4,19,0.27,14,25,49,19,3.6,0
4.4,19,0.28,15,34,53,21,3.6,1
3.5,16,0.23,12,41,46,15,2.5,0
2.8,14,0.21,11,39,49,13,2.4,0
3.6,14,0.18,11,37,49,14,2.6,0
2.9,13,0.17,10,39,44,16,2.9,0
3.1,14,0.18,11,41,42,16,2.8,0
2.8,15,0.24,12,46,40,15,2.7,0
2.6,16,0.29,14,38,39,20,2.1,0
2.4,22,0.42,19,31,39,20,3.3,0
3.5,26,0.56,23,15,35,15,2.6,0
3,26,0.58,23,17,35,11,1.5,0
3.9,27,0.62,23,13,37,10,1.4,0
7.3,38,0.77,30,2.8,37,13,12,0
10,39,0.69,28,2.1,44,15,8.5,0
15,42,0.47,27,0.9,48,13,7.5,0
7,29,0.28,22,2.5,44,16,5.4,0
2.4,19,0.22,17,8.3,37,18,4.3,0
0.6,16,0.22,15,8.8,33,17,4,0
2,18,0.29,16,6.6,33,15,4.4,0
3.9,20,0.32,16,5.4,32,10,4.1,0
5.1,19,0.33,14,11,35,10,3.5,0
5.9,21,0.44,15,17,38,15,5.3,0
7.9,27,0.48,19,21,37,19,4.5,0
3.6,19,0.31,15,34,53,16,3.2,1
1.9,15,0.27,14,46,57,16,3.8,1
1.5,15,0.28,13,55,45,16,4,1
1.8,14,0.26,12,58,45,18,3.8,1
1.7,12,0.21,10,52,45,21,3.8,1
1.7,13,0.22,11,54,48,18,3.6,1
2.2,15,0.24,12,52,49,16,3.9,1
2.2,15,0.25,13,52,51,15,4.5,1
1.7,20,0.37,18,44,54,17,5.5,1
1.5,22,0.45,20,40,54,20,6.6,1
1,22,0.44,21,34,55,23,6.3,1
1.4,25,0.5,24,24,54,25,7.9,1
1.6,25,0.55,24,17,54,25,9.4,1
1.1,22,0.46,21,13,53,24,6.3,1
1.9,26,0.43,24,8.9,50,25,6,0
2.1,27,0.36,25,6.5,50,25,4.6,0
1.9,20,0.28,18,10,46,21,3.4,0
1.2,19,0.27,18,7,39,18,4.2,0
0,15,0.24,15,9.7,31,18,4,0
0.4,15,0.2,15,11,27,12,3.7,0
0.7,11,0.22,11,15,26,12,2.7,0
3.1,16,0.29,13,14,24,14,2.8,0
6.5,23,0.38,16,17,29,12,3.7,0
5.4,22,0.36,16,24,29,14,3.5,0
2.4,17,0.26,14,37,32,15,3,0
1.6,14,0.24,12,45,42,10,2.7,0
1.2,14,0.26,13,56,51,12,3.5,1
0.6,13,0.24,12,54,54,17,3.7,1
0.9,12,0.21,11,54,53,15,3.9,1
1.1,13,0.21,12,51,56,12,3.9,1
0.9,13,0.23,12,48,55,15,4,1
0.8,13,0.24,13,43,54,17,3.4,1
1,16,0.33,15,34,49,18,3.1,0
1.2,23,0.45,22,24,45,20,4.5,0
0.6,20,0.39,20,23,44,20,3.7,0
0.3,21,0.45,21,19,43,20,3.9,0
3.1,30,0.46,27,12,45,24,6,0
4.3,36,0.49,32,5.2,49,26,6.7,0
6.2,35,0.46,29,5.4,48,26,6.4,0
1,24,0.35,23,6.2,46,21,4.5,0
0.6,14,0.25,14,15,43,20,3.1,0
-0.2,15,0.23,16,11,37,20,3.6,0
1.1,12,0.22,11,15,35,18,3.1,0
1.1,13,0.21,11,14,37,15,3,0
2.4,17,0.3,14,12,37,13,3.7,0
7.9,27,0.45,19,8.2,37,16,3.4,0
6,21,0.4,15,17,37,17,3.4,0
5.6,20,0.39,15,24,33,15,3.3,0
3.1,16,0.27,13,41,38,16,3,0
2,11,0.2,8.9,52,28,12,2,1
1.7,15,0.26,14,67,37,14,3.2,1
1.9,15,0.26,13,69,50,20,3.5,1
2.4,15,0.26,13,62,56,20,3.8,1
2.4,17,0.28,14,51,55,11,4.1,1
2.3,17,0.32,15,35,48,10,4.2,0
2,21,0.4,19,25,42,11,5.7,0
2,24,0.41,22,19,40,9,5.4,0
2.3,25,0.43,23,15,40,11,6.4,0
2.4,26,0.48,24,12,40,15,5.9,0
3.9,33,0.69,29,9,44,13,4.7,0
1.7,24,0.51,22,14,46,13,3,0
2.1,20,0.44,18,13,45,13,3.1,0
1.9,16,0.33,14,13,44,12,2.9,0
2.3,15,0.3,13,11,44,16,2.8,0
1.1,14,0.3,13,9,42,17,2.7,0
1.5,13,0.28,11,6.9,40,13,2.6,0
2.9,16,0.36,13,6.7,42,12,3.1,0
6.4,22,0.49,16,7.7,42,16,3.3,0
9.2,29,0.67,20,14,46,21,3.6,0
4.3,27,0.74,22,35,54,23,4.8,1
2.4,24,0.58,21,48,60,23,4.9,1
1.8,20,0.43,19,52,57,20,5.3,1
2.6,19,0.34,16,44,49,16,4,0
1.8,17,0.32,15,58,42,15,4.1,1
1,15,0.33,14,60,45,15,4.1,1
1.3,15,0.28,13,48,50,12,3.3,0
1.5,17,0.31,16,46,55,15,4.6,1
2,19,0.32,17,41,54,20,4.4,1
2.1,20,0.37,18,31,49,20,3.7,0
1.4,22,0.48,20,23,45,19,5.2,0
1.4,22,0.51,20,20,45,16,6.3,0
2.7,29,0.69,26,16,42,12,2.5,0
7.1,40,0.95,33,8.2,33,9,2.6,0
5.5,32,0.77,26,12,29,10,2.8,0
2.5,25,0.6,22,15,31,10,2.6,0
2,19,0.48,17,15,32,9,2.5,0
1.1,15,0.37,13,18,32,8,2.9,0
1.4,10,0.28,8.9,21,34,11,2.4,0
3.3,22,0.37,19,7.4,34,13,3.1,0
11,37,0.47,25,1.2,39,16,6,0
9.7,31,0.5,21,2.7,44,17,6.2,0
12,35,0.58,23,7.1,45,17,5.1,0
7.6,29,0.6,22,20,49,23,3.8,0
5.3,27,0.62,21,36,57,22,3.8,1
3.6,18,0.37,14,32,55,20,3.5,1
3.6,15,0.29,11,37,48,19,3.5,0
3.3,14,0.29,11,48,46,17,3.9,0
2.5,11,0.26,8.6,50,48,15,3.4,0
2.9,11,0.22,7.9,45,48,16,2.9,0
3.4,12,0.21,8.3,41,44,14,2.5,0
3.1,12,0.23,8.8,45,45,17,2.8,0
3,12,0.27,8.9,43,48,18,2.5,0
2.8,15,0.38,12,38,46,18,2.5,0
2.6,21,0.48,18,37,37,20,2.2,0
